source_file,calculation_group,calculation_type,status,R_A,state,energy_Ha,energy_rel_eV,gap_to_previous_Ha,gap_to_previous_eV,dipole_D,dipole_x_D,dipole_y_D,dipole_z_D,multiplicity,s2,leading_configuration,leading_ci_coefficient,second_configuration,second_ci_coefficient,charge_Li,charge_F,natural_occupation_summary,notes
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,1,-106.980387499000,0.08819692,,,6.03843200,0.00000000,0.00000000,-6.03843200,1.000,0.000000,11100000000000000000000000000|11100000000000000000000000000,0.99016620,,,0.63551000,-0.63551000,2.0000 2.0000 2.0000 1.9909 1.9874,ci_eigenvector
lif_scan/LiF_CI.out,lif_scan,surface,normal,1.500000,2,-106.718439374300,7.21616852,0.261948125600,7.12797162,,,,,,,,,,,,,,surface_scan
new_runs/scan_selected/lif_selected_scan.out,scan_selected,surface,normal,1.500000,2,-106.718439372700,7.21616856,0.261948127700,7.12797168,,,,,,,,,,,,,,surface_scan
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,2,-106.718439369500,7.21616865,0.261948129500,7.12797173,,,,,3.000,2.000000,11100000000000000000000000000|01110000000000000000000000000,0.52320180,01110000000000000000000000000|11100000000000000000000000000,-0.52320180,,,,ci_eigenvector
lif_scan/LiF_CI.out,lif_scan,surface,normal,1.500000,3,-106.716138739600,7.27877198,0.002300634700,0.06260346,,,,,,,,,,,,,,surface_scan
new_runs/scan_selected/lif_selected_scan.out,scan_selected,surface,normal,1.500000,3,-106.716138738300,7.27877201,0.002300634400,0.06260345,,,,,,,,,,,,,,surface_scan
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,7.27877210,0.002300634300,0.06260345,,,,,1.000,0.000000,01110000000000000000000000000|11100000000000000000000000000,-0.53079660,11100000000000000000000000000|01110000000000000000000000000,-0.53079660,,,,ci_eigenvector
new_runs/scan_selected/lif_selected_scan.out,scan_selected,surface,normal,1.600000,1,-106.983628676100,0.00000000,,,,,,,,,,,,,,,,surface_scan
new_runs/single_points_properties/outputs/lif_sp_R_1_60.out,single_points_properties,single_point,normal,1.600000,1,-106.983628672600,0.00000010,,,6.46386200,0.00000000,0.00000000,-6.46386200,1.000,0.000000,11100000000000000000000000000|11100000000000000000000000000,-0.98931890,,,0.67339400,-0.67339400,2.0000 2.0000 2.0000 1.9892 1.9869,ci_eigenvector
new_runs/scan_selected/lif_selected_scan.out,scan_selected,surface,normal,1.600000,2,-106.733594640600,6.80377271,0.250034035500,6.80377271,,,,,,,,,,,,,,surface_scan
new_runs/single_points_properties/outputs/lif_sp_R_1_60.out,single_points_properties,single_point,normal,1.600000,2,-106.733594631600,6.80377296,0.250034041000,6.80377286,,,,,3.000,2.000000,01110000000000000000000000000|11100000000000000000000000000,0.53700660,11100000000000000000000000000|01110000000000000000000000000,-0.53700660,,,,ci_eigenvector
new_runs/scan_selected/lif_selected_scan.out,scan_selected,surface,normal,1.600000,3,-106.730905406300,6.87695051,0.002689234300,0.07317779,,,,,,,,,,,,,,surface_scan
new_runs/single_points_properties/outputs/lif_sp_R_1_60.out,single_points_properties,single_point,normal,1.600000,3,-106.730905397900,6.87695074,0.002689233700,0.07317778,,,,,1.000,0.000000,11100000000000000000000000000|01110000000000000000000000000,0.54552890,01110000000000000000000000000|11100000000000000000000000000,0.54552890,,,,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_70.out,single_points_properties,single_point,normal,1.700000,1,-106.981032272600,0.07065174,,,6.89168700,0.00000000,0.00000000,-6.89168700,1.000,0.000000,11100000000000000000000000000|11100000000000000000000000000,0.98849790,,,0.69837800,-0.69837800,2.0000 2.0000 2.0000 1.9875 1.9864,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_70.out,single_points_properties,single_point,normal,1.700000,2,-106.743701022100,6.52876406,0.237331250500,6.45811233,,,,,3.000,2.000000,11100000000000000000000000000|01110000000000000000000000000,0.54909790,01110000000000000000000000000|11100000000000000000000000000,-0.54909790,,,,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_70.out,single_points_properties,single_point,normal,1.700000,3,-106.740548110600,6.61455916,0.003152911500,0.08579509,,,,,1.000,0.000000,01110000000000000000000000000|11100000000000000000000000000,-0.55850370,11100000000000000000000000000|01110000000000000000000000000,-0.55850370,,,,ci_eigenvector
new_runs/scan_selected/lif_selected_scan.out,scan_selected,surface,normal,1.700000,1,-106.981032276300,0.07065164,,,,,,,,,,,,,,,,surface_scan
new_runs/scan_selected/lif_selected_scan.out,scan_selected,surface,normal,1.700000,2,-106.743701031700,6.52876380,0.237331244600,6.45811217,,,,,,,,,,,,,,surface_scan
new_runs/scan_selected/lif_selected_scan.out,scan_selected,surface,normal,1.700000,3,-106.740548119600,6.61455891,0.003152912100,0.08579511,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,1.750000,1,-106.978247844700,0.14641988,,,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,1.750000,2,-106.747364214200,6.42908353,0.230883630500,6.28266365,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,1.750000,3,-106.743963077800,6.52163317,0.003401136400,0.09254964,,,,,,,,,,,,,,surface_scan
new_runs/single_points_properties/outputs/lif_sp_R_1_80.out,single_points_properties,single_point,normal,1.800000,1,-106.974784590700,0.24065982,,,7.32358100,0.00000000,0.00000000,-7.32358100,1.000,0.000000,11100000000000000000000000000|11100000000000000000000000000,-0.98774190,,,0.71225300,-0.71225300,2.0000 2.0000 2.0000 1.9861 1.9861,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_80.out,single_points_properties,single_point,normal,1.800000,2,-106.750327532100,6.34844754,0.224457058600,6.10778772,,,,,3.000,2.000000,01110000000000000000000000000|11100000000000000000000000000,0.55932340,11100000000000000000000000000|01110000000000000000000000000,-0.55932340,,,,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_80.out,single_points_properties,single_point,normal,1.800000,3,-106.746670705900,6.44795485,0.003656826200,0.09950731,,,,,1.000,0.000000,11100000000000000000000000000|01110000000000000000000000000,-0.56975990,01110000000000000000000000000|11100000000000000000000000000,-0.56975990,,,,ci_eigenvector
lif_scan/LiF_CI.out,lif_scan,surface,normal,2.000000,1,-106.957355156200,0.71493890,,,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,2.000000,2,-106.757866558900,6.14330017,0.199488597300,5.42836127,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,2.000000,3,-106.753142853800,6.27183873,0.004723705100,0.12853856,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,2.250000,1,-106.933430015100,1.36597515,,,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,2.250000,2,-106.762805245100,6.00891167,0.170624770000,4.64293652,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,2.250000,3,-106.756831865200,6.17145562,0.005973379900,0.16254395,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,2.500000,1,-106.910881013900,1.97956473,,,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,2.500000,2,-106.765893701000,5.92487051,0.144987312900,3.94530577,,,,,,,,,,,,,,surface_scan
